ip,fqdn
23.157.160.168,us.pool.ntp.org
23.159.16.194,0.ca.pool.ntp.org
23.159.16.194,0.north-america.pool.ntp.org
23.159.16.194,2.us.pool.ntp.org
23.159.16.194,3.north-america.pool.ntp.org
23.159.16.194,3.us.pool.ntp.org
23.159.16.194,ca.pool.ntp.org
23.159.16.194,us.pool.ntp.org
23.160.16.36,0.us.pool.ntp.org
23.160.16.36,2.north-america.pool.ntp.org
23.160.16.36,2.us.pool.ntp.org
23.160.16.36,us.pool.ntp.org
23.161.104.133,1.europe.pool.ntp.org
23.161.104.133,3.fr.pool.ntp.org
23.161.104.133,fr.pool.ntp.org
23.168.24.210,0.north-america.pool.ntp.org
23.168.24.210,1.north-america.pool.ntp.org
23.168.24.210,2.north-america.pool.ntp.org
23.168.24.210,2.us.pool.ntp.org
23.168.24.210,3.north-america.pool.ntp.org
23.168.24.210,us.pool.ntp.org
23.172.120.58,0.north-america.pool.ntp.org
23.172.120.58,2.us.pool.ntp.org
23.172.120.58,us.pool.ntp.org
23.172.120.59,1.north-america.pool.ntp.org
23.172.120.59,1.us.pool.ntp.org
23.172.120.59,2.us.pool.ntp.org
23.172.120.59,3.us.pool.ntp.org
23.172.120.59,us.pool.ntp.org
23.186.168.123,0.north-america.pool.ntp.org
23.186.168.123,2.us.pool.ntp.org
23.186.168.123,3.north-america.pool.ntp.org
23.186.168.123,3.us.pool.ntp.org
23.186.168.123,us.pool.ntp.org
23.186.168.124,1.north-america.pool.ntp.org
23.186.168.124,1.us.pool.ntp.org
23.186.168.124,2.north-america.pool.ntp.org
23.186.168.124,2.us.pool.ntp.org
23.186.168.124,3.us.pool.ntp.org
23.186.168.124,us.pool.ntp.org
23.186.168.125,0.north-america.pool.ntp.org
23.186.168.125,0.us.pool.ntp.org
23.186.168.125,2.us.pool.ntp.org
23.186.168.125,3.north-america.pool.ntp.org
23.186.168.125,us.pool.ntp.org
23.186.168.126,0.north-america.pool.ntp.org
23.186.168.126,1.north-america.pool.ntp.org
23.186.168.126,2.us.pool.ntp.org
23.186.168.126,3.us.pool.ntp.org
23.186.168.126,us.pool.ntp.org
23.186.168.127,0.us.pool.ntp.org
23.186.168.127,1.north-america.pool.ntp.org
23.186.168.127,2.north-america.pool.ntp.org
23.186.168.127,3.us.pool.ntp.org
23.186.168.127,us.pool.ntp.org
23.186.168.128,0.north-america.pool.ntp.org
23.186.168.128,0.us.pool.ntp.org
23.186.168.128,2.north-america.pool.ntp.org
23.186.168.128,3.north-america.pool.ntp.org
23.186.168.128,us.pool.ntp.org
23.186.168.129,0.north-america.pool.ntp.org
23.186.168.129,1.north-america.pool.ntp.org
23.186.168.129,2.north-america.pool.ntp.org
23.186.168.129,2.us.pool.ntp.org
23.186.168.129,3.north-america.pool.ntp.org
23.186.168.129,3.us.pool.ntp.org
